ParentLocationCode,ParentLocation,SpatialDimValueCode,Location,Gdp,year,Dim1 type,Dim1,Dim1ValueCode,FactValueNumeric,Value,Level,Language,DateModified,,,pergdp,,,,,,,,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,,FactValueTranslationID,FactComments
AFR,Africa,BFA,Burkina Faso,12.08029664,2010,Sex,Both sexes,BTSX,58.59,58.59,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,2752.630172,,,,,,,,,,,,,,,
AFR,Africa,BFA,Burkina Faso,11.83215928,2015,Sex,Both sexes,BTSX,60.92,60.92,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,3322.863329,,,,,,,,,,,,,,,
AFR,Africa,BFA,Burkina Faso,16.17816203,2019,Sex,Both sexes,BTSX,62.7,62.7,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,718.196337,,,,,,,,,,,,,,,
AFR,Africa,BDI,Burundi,0.87048607,2000,Sex,Both sexes,BTSX,43.78,43.78,<50.0,EN,2020-12-03T16:00:00.000Z,,,6434.812485,,,,,,,,,,,,,,,
AFR,Africa,BDI,Burundi,2.23582087,2010,Sex,Both sexes,BTSX,58.6,58.6,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,6402.910183,,,,,,,,,,,,,,,
AFR,Africa,BDI,Burundi,3.10439486,2015,Sex,Both sexes,BTSX,62.05,62.05,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,7203.064221,,,,,,,,,,,,,,,
AFR,Africa,BDI,Burundi,2.63143436,2019,Sex,Both sexes,BTSX,63.84,63.84,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,3522.310821,,,,,,,,,,,,,,,
AFR,Africa,CPV,Cabo Verde,1.86591554,2010,Sex,Both sexes,BTSX,74.12,74.12,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,251.2072914,,,,,,,,,,,,,,,
AFR,Africa,CPV,Cabo Verde,1.59680029,2015,Sex,Both sexes,BTSX,74.88,74.88,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,488.4217358,,,,,,,,,,,,,,,
AFR,Africa,CPV,Cabo Verde,1.98184574,2019,Sex,Both sexes,BTSX,74.03,74.03,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,377.4229177,,,,,,,,,,,,,,,
AFR,Africa,CPV,Cabo Verde,0.53922728,2000,Sex,Both sexes,BTSX,70.97,70.97,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,467.9080323,,,,,,,,,,,,,,,
WPR,Western Pacific,KHM,Cambodia,12.82954114,2010,Sex,Both sexes,BTSX,67.22,67.22,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,24271.00206,,,,,,,,,,,,,,,
WPR,Western Pacific,KHM,Cambodia,18.04995429,2015,Sex,Both sexes,BTSX,69.17,69.17,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,47562.08343,,,,,,,,,,,,,,,
WPR,Western Pacific,KHM,Cambodia,27.08938979,2019,Sex,Both sexes,BTSX,70.12,70.12,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,43596.13554,,,,,,,,,,,,,,,
WPR,Western Pacific,KHM,Cambodia,3.65403172,2000,Sex,Both sexes,BTSX,58.68,58.68,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,46338.34096,,,,,,,,,,,,,,,
AFR,Africa,CMR,Cameroon,30.63091218,2010,Sex,Both sexes,BTSX,56.58,56.58,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,38952.0342,,,,,,,,,,,,,,,
AFR,Africa,CMR,Cameroon,32.21023291,2015,Sex,Both sexes,BTSX,59.11,59.11,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,77117.12601,,,,,,,,,,,,,,,
AFR,Africa,CMR,Cameroon,39.67097733,2019,Sex,Both sexes,BTSX,62.36,62.36,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,84776.14217,,,,,,,,,,,,,,,
AFR,Africa,CMR,Cameroon,10.56657895,2000,Sex,Both sexes,BTSX,52.82,52.82,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,85334.51946,,,,,,,,,,,,,,,
AMR,Americas,CAN,Canada,744.7734159,2000,Sex,Both sexes,BTSX,79.1,79.1,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,5074.902616,,,,,,,,,,,,,,,
AMR,Americas,CAN,Canada,1793.32663,2010,Sex,Both sexes,BTSX,81.31,81.31,>80.0,EN,2020-12-03T16:00:00.000Z,,,12808.03834,,,,,,,,,,,,,,,
AMR,Americas,CAN,Canada,1556.508816,2015,Sex,Both sexes,BTSX,81.76,81.76,>80.0,EN,2020-12-03T16:00:00.000Z,,,13574.16924,,,,,,,,,,,,,,,
AMR,Americas,CAN,Canada,1742.015045,2019,Sex,Both sexes,BTSX,82.24,82.24,>80.0,EN,2020-12-03T16:00:00.000Z,,,14741.7144,,,,,,,,,,,,,,,
AFR,Africa,CAF,Central African Republic,0.9145003,2000,Sex,Both sexes,BTSX,44.34,44.34,<50.0,EN,2020-12-03T16:00:00.000Z,,,959.3724836,,,,,,,,,,,,,,,
AFR,Africa,CAF,Central African Republic,2.43798284,2010,Sex,Both sexes,BTSX,48.51,48.51,<50.0,EN,2020-12-03T16:00:00.000Z,,,4550.453108,,,,,,,,,,,,,,,
AFR,Africa,CAF,Central African Republic,1.69582571,2015,Sex,Both sexes,BTSX,50.53,50.53,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,8016.431435,,,,,,,,,,,,,,,
AFR,Africa,CAF,Central African Republic,2.22030737,2019,Sex,Both sexes,BTSX,53.1,53.1,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,10143.83817,,,,,,,,,,,,,,,
